scheme,fold,model,pearson,spearman,rmse,r2,auprc_synergy,prevalence_synergy,n_test
cold_cell,1,lgbm_chem_bio,0.4460822396170139,0.44581853471468563,5.581325087908786,0.1554521427704889,0.24951049523322458,0.04348199813350361,81436
cold_cell,1,lgbm_full,0.4348551669257803,0.36486735621676314,5.492568654759789,0.18209923464426803,0.24078451859112837,0.04348199813350361,81436
cold_cell,1,lgbm_study,0.45961049984431707,0.41805106378697926,5.4248686004234346,0.20213746423156587,0.24862359649688986,0.04348199813350361,81436
cold_cell,1,lgbm_mono,0.5907615225781423,0.6106639564098859,4.962398245548357,0.33237459325691665,0.27152131138127644,0.04348199813350361,81436
cold_cell,1,lgbm_all,0.59444824277056,0.6332482094210219,4.925770415515793,0.3421938062829818,0.26447510206956926,0.04348199813350361,81436
cold_cell,1,lgbm_all_no_history,0.5990162883718056,0.6393986600581213,4.972348218402364,0.3296946332656382,0.28902118430477697,0.04348199813350361,81436
cold_cell,2,mean,,,6.701126301648128,-0.04820644175182798,0.0501650423369473,0.0501650423369473,76647
cold_cell,2,history_ridge,0.48021660697934393,0.48857818364395433,6.183214501043329,0.10755832446105218,0.26483470007223825,0.0501650423369473,76647
cold_cell,2,lgbm_chem_bio,0.3305552550495626,0.3743066633306357,6.541929204147171,0.001005960137356432,0.14579601450617558,0.0501650423369473,76647
cold_cell,2,lgbm_full,0.44074258385003695,0.43645801812668844,5.902252092420008,0.18681992847113016,0.2398660546521002,0.0501650423369473,76647
cold_cell,2,lgbm_study,0.44721799798245176,0.44263255961924014,5.89934952500973,0.1876195315952125,0.2545195624577085,0.0501650423369473,76647
cold_cell,2,lgbm_mono,0.536605104694474,0.592909079314887,5.548947663496741,0.2812589088595593,0.24992754418081026,0.0501650423369473,76647
cold_cell,2,lgbm_all,0.5503959794097789,0.6184121284495272,5.49223625215821,0.29587520443224824,0.2574993469741498,0.0501650423369473,76647
cold_cell,2,lgbm_all_no_history,0.47522143079130647,0.6102779194260078,6.104393793476822,0.13016615581773516,0.16340401605569094,0.0501650423369473,76647
