scheme,model,feature,family,gain
cold_pair,lgbm_chem_bio,chem_aromatic_rings_sum,Chemistry: descriptors & similarity,0.021020327019267575
random,lgbm_all,mono_inh_mean_max,Monotherapy response,0.02101206446503766
cold_cell,lgbm_mono,mono_bliss_expected,Monotherapy response,0.02097495064498998
cold_pair,lgbm_study,te_drug_min,Screen history: in-fold mean ZIP,0.020895325707301335
cold_drug,lgbm_all,mono_inh_max_max,Monotherapy response,0.020860372709357877
cold_drug,lgbm_study,n_drugcell_min_log,Screen history: in-fold counts,0.02075094228506236
cold_drug,lgbm_all,mono_inh_mean_max,Monotherapy response,0.020698841921623707
cold_cell,lgbm_all,mono_bliss_expected,Monotherapy response,0.02065369909801709
random,lgbm_chem_bio,chem_heavy_atoms_sum,Chemistry: descriptors & similarity,0.020625987169252794
random,lgbm_chem_bio,chem_aromatic_rings_sum,Chemistry: descriptors & similarity,0.020590370660799398
cold_drug,lgbm_mono,te_cell,Screen history: in-fold mean ZIP,0.020474617504364363
cold_drug,lgbm_all,n_cell_log,Screen history: in-fold counts,0.02042360664795952
cold_cell,lgbm_all,n_cell_log,Screen history: in-fold counts,0.020421521224620594
cold_pair,lgbm_all,mono_bliss_expected,Monotherapy response,0.020167052740410633
random,lgbm_full,n_drugcell_min_log,Screen history: in-fold counts,0.020157908871332997
cold_cell,lgbm_chem_bio,chem_heavy_atoms_sum,Chemistry: descriptors & similarity,0.020139657015455
random,lgbm_mono,mono_inh_max_max,Monotherapy response,0.020113987566176376
cold_pair,lgbm_mono,mono_inh_max_max,Monotherapy response,0.020090214213418552
cold_pair,lgbm_all,mono_inh_max_max,Monotherapy response,0.020089073933473787
cold_drug,lgbm_mono,mono_inh_max_max,Monotherapy response,0.02008164460622001
cold_cell,lgbm_mono,mono_headroom,Monotherapy response,0.019874735209906933
cold_cell,lgbm_mono,mono_inh_max_max,Monotherapy response,0.019814993206690713
cold_cell,lgbm_all,mono_inh_mean_max,Monotherapy response,0.019788630679350456
random,lgbm_mono,n_cell_log,Screen history: in-fold counts,0.01978448354007824
random,lgbm_mono,mono_bliss_expected,Monotherapy response,0.01977103472626773
cold_drug,lgbm_chem_bio,chem_qed_sum,Chemistry: descriptors & similarity,0.019712221449407732
cold_drug,lgbm_all,mono_bliss_expected,Monotherapy response,0.01957555974281173
cold_drug,lgbm_all_no_history,chem_logp_sum,Chemistry: descriptors & similarity,0.019445955731080652
random,lgbm_mono,mono_headroom,Monotherapy response,0.019404294767824837
cold_pair,lgbm_study,n_drugcell_min_log,Screen history: in-fold counts,0.01936517787664213
cold_cell,lgbm_all,mono_inh_max_max,Monotherapy response,0.019183792964425003
random,lgbm_all,mono_bliss_expected,Monotherapy response,0.01916868591729329
cold_pair,lgbm_chem_bio,chem_qed_sum,Chemistry: descriptors & similarity,0.01913815683538672
cold_drug,lgbm_chem_bio,chem_aromatic_rings_sum,Chemistry: descriptors & similarity,0.019112930296787112
random,lgbm_chem_bio,chem_qed_sum,Chemistry: descriptors & similarity,0.019090686769916747
cold_pair,lgbm_chem_bio,chem_heavy_atoms_sum,Chemistry: descriptors & similarity,0.018929837776731448
cold_cell,lgbm_all,mono_headroom,Monotherapy response,0.018799229325080925
random,lgbm_mono,te_cell,Screen history: in-fold mean ZIP,0.018716629756277182
cold_drug,lgbm_chem_bio,chem_mol_wt_sum,Chemistry: descriptors & similarity,0.01851521536212478
cold_drug,lgbm_chem_bio,chem_heavy_atoms_sum,Chemistry: descriptors & similarity,0.018221197444340843
cold_drug,lgbm_all,te_drug_min,Screen history: in-fold mean ZIP,0.01820982135064764
cold_pair,lgbm_all,mono_headroom,Monotherapy response,0.018197732546315983
cold_pair,lgbm_mono,te_cell,Screen history: in-fold mean ZIP,0.01816472655485805
cold_cell,lgbm_chem_bio,chem_qed_sum,Chemistry: descriptors & similarity,0.018157692166789374
cold_drug,lgbm_mono,mono_inh_max_min,Monotherapy response,0.018131766091419504
cold_pair,lgbm_all,te_drug_min,Screen history: in-fold mean ZIP,0.018094602986083164
random,lgbm_chem_bio,chem_mol_wt_sum,Chemistry: descriptors & similarity,0.018006277147160035
cold_pair,lgbm_mono,mono_inh_max_min,Monotherapy response,0.017976601678296632
